subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
CN,0.0000,1.2500,0.0000,0.0000,0.0000,,0.0519
cccC=O,0.0000,0.5000,0.0000,0.6667,0.0000,0.0000,0.0450
cC=O,0.0000,1.5000,0.0000,0.6667,0.0000,0.0000,0.0370
Ccccc,0.0000,0.5000,0.0000,0.3333,0.0000,0.0000,0.0182
ccC=O,0.0000,1.2500,0.0000,0.6667,0.0000,0.0000,0.0177
cc[nH],0.0000,1.0000,0.0000,0.0000,0.0000,,0.0157
ccoc,0.0000,1.0000,0.0000,0.0000,0.0000,,0.0139
ccc[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0130
ccN(C)C,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0119
c[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0112
cc(C=O)c,0.0000,0.2500,0.0000,0.3333,0.0000,0.0000,0.0109
C1CNCCN1,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0101
cOCC,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0097
ccc(c)[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0097
c[nH]c,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0088
O=Cco,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0079
ccCNC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0074
cc(OC)c,0.0000,0.2500,0.0000,0.0000,0.5000,0.0000,0.0073
cC(=O)NC,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0070
cCNc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0069
cNCCNC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0068
coc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0065
cccc(N)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0063
cc[nH]c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0059
cc(N)c,0.0000,0.2500,0.0000,0.3333,0.0000,0.0000,0.0059
Cccccc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0059
Cc(c)c,0.0000,0.2500,0.0000,0.6667,0.0000,0.0000,0.0056
ccco,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0056
CccN,0.0000,0.2500,0.0000,0.6667,0.0000,0.0000,0.0045
ccccccO,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0045
ccNC=O,0.0000,0.7500,0.0000,0.6667,0.0000,0.0000,0.0045
cocC=O,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
cC(=O)cc,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0042
cccco,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
c[nH]c(c)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0038
cccCN,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0038
cCN(C)C,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0038
cCc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0038
CNCC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
CN(C)CCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0034
Ccccco,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0034
Cc(c)ccc,0.0000,0.2500,0.0000,0.0000,0.5000,0.0000,0.0032
cCCN,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0026
Ccc,0.0000,0.2500,0.0000,0.3333,0.0000,0.0000,0.0025
ccccc(O)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0017
