subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
cC=O,0.0,2.25,0.0,0.6666666666666666,0.0,0.0,0.04141414141414142
cC,0.0,0.75,0.0,0.0,0.0,,0.04053765164876276
cccccc,2.8333333333333335,1.5,0.930586129131993,3.6666666666666665,3.5,0.9996098363678071,0.03653198653198653
CNC,1.5,4.25,0.828055725379504,0.0,3.0,0.0,0.035333493666827
Ccccc,0.0,0.75,0.0,0.6666666666666666,1.0,0.9709505944546685,0.03084415584415584
Cccc,0.0,0.75,0.0,0.3333333333333333,0.5,0.9709505944546685,0.029862113195446526
ccC,1.0,1.5,0.9709505944546688,1.6666666666666667,0.0,0.0,0.026203302869969542
cccccC,0.3333333333333333,0.5,0.9709505944546685,0.0,0.0,,0.025022045855379187
cCCC,0.6666666666666666,0.0,0.0,0.0,0.0,,0.024354657687991024
ccccc,4.833333333333333,6.0,0.9916178297881032,9.333333333333334,4.0,0.8812908992306926,0.022899631232964564
cccc,11.666666666666666,11.25,0.9997615248696311,16.0,11.5,0.980597440991727,0.02230639730639731
cccOCC,0.0,0.25,0.0,0.0,0.0,,0.019306824862380417
ccccc(N)c,0.0,0.25,0.0,0.0,0.0,,0.019285714285714285
CCO,1.1666666666666667,3.25,0.83294582353614,0.0,3.0,0.0,0.018302068302068302
cCCN,0.0,0.25,0.0,0.0,0.0,,0.018157768157768157
cccC,1.5,1.25,0.9940302114769566,1.3333333333333333,0.0,0.0,0.01694023569023569
CCNC,1.6666666666666667,3.0,0.9402859586706311,0.0,1.5,0.0,0.01690516273849607
ccc,8.333333333333334,11.75,0.9790206239241428,9.666666666666666,10.0,0.9997927658541268,0.016133557800224466
ccc(c)c,0.0,0.25,0.0,1.0,0.0,0.0,0.016113516113516115
CNccc,0.0,0.25,0.0,0.0,0.0,,0.015104751215862326
cc(C)c,1.6666666666666667,1.25,0.9852281360342515,0.0,0.0,,0.014510181176847846
CN(C)C,0.5,1.0,0.9182958340544894,0.0,0.0,,0.01430976430976431
CNCC,0.0,0.5,0.0,0.0,0.0,,0.013668430335097001
cc(O)c,0.8333333333333334,0.75,0.9980008838722995,1.0,0.5,0.9182958340544894,0.013215488215488215
cccN,0.0,0.25,0.0,0.3333333333333333,0.0,0.0,0.013133985356207578
cc,0.6666666666666666,1.25,0.9321115676166747,0.6666666666666666,0.0,0.0,0.012906846240179575
cc(CCN)c,0.0,0.25,0.0,0.0,0.0,,0.012719790497568278
Ccocc,0.0,0.25,0.0,0.0,0.0,,0.01234567901234568
coc,0.0,0.25,0.0,0.0,0.0,,0.012265512265512264
c1ccccc1,0.5,1.25,0.8631205685666311,0.3333333333333333,2.0,0.5916727785823274,0.011704345037678372
CCC,5.166666666666667,0.0,0.0,0.0,1.5,0.0,0.011688311688311689
ccC=O,0.16666666666666666,1.0,0.5916727785823274,0.3333333333333333,0.0,0.0,0.010582010582010583
ccCC,0.8333333333333334,0.75,0.9980008838722995,0.0,0.0,,0.010501843835177169
ccccO,0.3333333333333333,0.75,0.8904916402194913,0.6666666666666666,0.0,0.0,0.010221260221260221
cC(=O)cc,0.0,0.25,0.0,0.0,0.0,,0.010101010101010102
NCCN,0.5,0.75,0.9709505944546688,0.0,0.0,,0.010101010101010102
ccc(c)[nH],0.0,0.25,0.0,0.0,0.0,,0.009900593233926567
cc(c)c[nH],0.0,0.25,0.0,0.0,0.0,,0.00986050986050986
ccc(O)c,0.6666666666666666,0.75,0.9975025463691153,0.3333333333333333,0.5,0.9709505944546685,0.009820426487093152
cNC=O,0.16666666666666666,0.75,0.6840384356390417,0.3333333333333333,0.0,0.0,0.009740259740259742
CN(C)CC,0.0,0.25,0.0,0.0,0.0,,0.009539842873176206
ccO,0.16666666666666666,0.5,0.8112781244591328,0.3333333333333333,0.5,0.9709505944546685,0.009118967452300787
cC(c)=O,0.0,0.75,0.0,0.0,0.0,,0.008982683982683981
cc(N)c,0.0,0.25,0.0,0.6666666666666666,0.0,0.0,0.008931911709689488
CC(=O)O,1.1666666666666667,0.0,0.0,0.0,0.0,,0.008698092031425365
ccN,0.16666666666666666,0.75,0.6840384356390417,1.0,0.0,0.0,0.008658008658008658
cc[nH],0.0,0.75,0.0,0.0,0.0,,0.008417508417508417
C=O,0.3333333333333333,0.5,0.9709505944546685,0.3333333333333333,0.5,0.9709505944546685,0.00831729998396665
cN(CC)CC,0.0,0.25,0.0,0.0,0.0,,0.008277216610549944
Cco,0.0,0.25,0.0,0.0,0.0,,0.007996632996632995
ccc(C)c,0.8333333333333334,0.5,0.954434002924965,0.0,0.0,,0.007996632996632995
Cc(c)cccO,0.0,0.25,0.0,0.0,0.0,,0.007482229704451925
cNC,0.0,0.25,0.0,0.0,0.5,0.0,0.007061354283576505
cc(NC=O)c,0.0,0.25,0.0,0.0,0.0,,0.006974506974506975
cc[nH]c,0.0,1.0,0.0,0.0,0.0,,0.006958473625140292
CC=O,0.5,0.0,0.0,0.0,0.5,0.0,0.006734006734006735
CN1CCNCC1,0.0,0.25,0.0,0.0,0.0,,0.006313131313131313
CccNC,0.0,0.25,0.0,0.0,0.0,,0.006132756132756133
ccCCN,0.0,0.25,0.0,0.0,0.0,,0.005892255892255892
c[nH]c,0.0,0.5,0.0,0.0,0.0,,0.005892255892255892
cOc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0056116722783389455
ccccN,0.16666666666666666,0.25,0.9709505944546685,0.3333333333333333,0.5,0.9709505944546685,0.005511463844797178
CC(C)C,2.8333333333333335,0.0,0.0,0.0,0.0,,0.005050505050505052
cccco,0.0,0.25,0.0,0.0,0.0,,0.00493025493025493
CCNCC,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.004741863075196409
cCC(C)C,0.5,0.0,0.0,0.0,0.0,,0.004664702581369248
cC(ccc)C,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0044893378226711555
ccOCC,0.0,0.25,0.0,0.0,1.0,0.0,0.0044893378226711555
cccO,0.8333333333333334,0.5,0.954434002924965,0.0,1.5,0.0,0.0044893378226711555
ccNC(=O)C,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0044893378226711555
co,0.0,0.25,0.0,0.0,0.0,,0.004329004329004329
O=CO,2.5,0.0,0.0,1.6666666666666667,0.0,0.0,0.004329004329004329
cCCNC,0.0,0.25,0.0,0.0,0.0,,0.004208754208754208
CNc(c)c,0.16666666666666666,0.25,0.9709505944546685,0.0,0.0,,0.00404040404040404
cccc(O)c,0.0,0.25,0.0,0.3333333333333333,0.0,0.0,0.003787878787878788
CcccO,0.3333333333333333,0.0,0.0,0.0,0.0,,0.003787878787878787
Ccc,0.0,0.25,0.0,0.0,0.0,,0.003607503607503608
cco,0.0,0.25,0.0,0.0,0.0,,0.003607503607503608
ccNC=O,0.16666666666666666,0.25,0.9709505944546685,0.6666666666666666,0.0,0.0,0.003607503607503608
CC,0.6666666666666666,0.75,0.9975025463691153,0.0,1.5,0.0,0.0033670033670033673
CCN(C)C,0.3333333333333333,0.5,0.9709505944546685,0.0,0.0,,0.0033670033670033673
cccc(N)c,0.16666666666666666,0.25,0.9709505944546685,0.0,0.0,,0.0033670033670033673
cN(C)C,0.0,1.0,0.0,0.0,0.0,,0.0028860028860028864
cC(N)=O,0.6666666666666666,1.0,0.9709505944546685,0.0,0.0,,0.0028058361391694727
cc(CC)c,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0028058361391694727
c1cc[nH]c1,0.0,0.25,0.0,0.0,0.0,,0.0026936026936026937
Cc(c)cc,0.0,0.25,0.0,0.0,0.5,0.0,0.0025252525252525255
cNCCN,0.0,0.25,0.0,0.0,0.0,,0.0022222222222222214
cOC,1.0,0.75,0.9852281360342515,4.0,0.5,0.5032583347756457,0.0021043771043771043
ccOccc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.00202020202020202
cC(=O)NCC,0.0,0.25,0.0,0.0,0.0,,0.00202020202020202
ccccC,1.0,0.25,0.7219280948873623,0.0,0.0,,0.0017316017316017316
NC=O,1.3333333333333333,1.0,0.9852281360342514,0.6666666666666666,1.0,0.9709505944546685,0.0017316017316017316
cNCC,0.3333333333333333,0.25,0.9852281360342514,0.0,0.0,,0.001346801346801347
cNC(=O)C,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.0
cCCC=O,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
ccccc[nH],0.0,0.25,0.0,0.0,0.0,,0.0
ccc(C)cc,0.0,0.25,0.0,0.0,0.0,,0.0
cC(c)C,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cCcccc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cccCC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
CCNC=O,0.0,0.25,0.0,0.0,0.0,,0.0
Ccc[nH],0.0,0.75,0.0,0.0,0.0,,0.0
CC(C)N,1.3333333333333333,0.0,0.0,0.0,3.5,0.0,0.0
CCN,1.0,1.25,0.9910760598382222,0.0,1.0,0.0,0.0
cccoc,0.0,0.25,0.0,0.0,0.0,,0.0
ccco,0.0,1.5,0.0,0.0,0.0,,0.0
Cc(c)o,0.0,0.25,0.0,0.0,0.0,,0.0
ccoc,0.0,1.0,0.0,0.0,0.0,,0.0
C1CCccN1,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cC(C)C,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cCC,0.8333333333333334,0.5,0.954434002924965,0.0,0.0,,0.0
cccNC=O,0.16666666666666666,0.25,0.9709505944546685,0.0,0.0,,0.0
ccc(c)N,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
CccN,0.16666666666666666,0.0,0.0,0.3333333333333333,0.5,0.9709505944546685,0.0
cc(c)N,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cC(C)C=O,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
CC(=O)N,0.3333333333333333,0.0,0.0,0.0,1.5,0.0,0.0
CCCO,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
C[C@@H](c)C,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
CCccccC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cccCCC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
ccccccN,0.0,0.25,0.0,0.6666666666666666,0.0,0.0,0.0
ccc(CC)c,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
CNcc,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
cocCN,0.0,0.25,0.0,0.0,0.0,,0.0
cccccN,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
CNCCN,0.5,0.25,0.9182958340544894,0.0,0.0,,0.0
C1CNCCN1,0.16666666666666666,0.25,0.9709505944546685,0.0,0.0,,0.0
cccccOC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cccOC,0.8333333333333334,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
cc(NC)c,0.0,0.25,0.0,0.0,0.0,,0.0
ccc(O)cc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
Ccccccc,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.0
OCCO,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,0.0
cCN,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
ccCCC=O,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
CCC=O,1.1666666666666667,0.0,0.0,0.0,0.0,,0.0
CCccc,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
cCC=O,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
ccOC,0.5,0.5,1.0,2.0,1.5,0.9852281360342515,0.0
ccccccO,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
CNc,0.0,0.25,0.0,0.0,0.0,,0.0
CccO,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
CC(O)CO,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.0
ccccCN,0.0,0.25,0.0,0.0,0.0,,0.0
NCCO,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.0
CC(C)O,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0
CCCN,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.0
CO,0.5,0.25,0.9182958340544894,1.0,1.5,0.9709505944546688,0.0
ccccC=O,0.0,0.25,0.0,0.0,0.0,,0.0
ccN(C)C,0.16666666666666666,0.25,0.9709505944546685,0.0,0.0,,0.0
ccOcc,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0
ccCN,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
Cc(c)c,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
CN,0.3333333333333333,0.25,0.9852281360342514,0.0,0.5,0.0,0.0
CCCNC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
ccNCC,0.16666666666666666,0.25,0.9709505944546685,0.0,0.0,,0.0
cccccNC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0
CCNCCN,0.16666666666666666,0.5,0.8112781244591328,0.0,0.0,,0.0
cOCC,0.0,0.75,0.0,0.0,0.5,0.0,0.0
