DiSC,significance,support F_1,support F_0,DiSC_canonical
ccc.ccc(C)c.CNC,0.8999990569896765,0.75,0.0,C:C:C.CC(:C):C:C.CNC
ccC.c1ccccc1.CNC,0.8999990569896765,0.75,0.0,C1:C:C:C:C:C:1.CC:C.CNC
ccC.cccccc.CNC,0.8999990569896765,0.75,0.0,C:C:C:C:C:C.CC:C.CNC
ccC.CNC,0.3014409656203929,0.75,0.1667,CC:C.CNC
ccc.ccc(C)c.CN,0.3014409656203929,0.75,0.1667,C:C:C.CC(:C):C:C.CN
ccC.cccccc.CC,0.3014409656203929,0.75,0.1667,C:C:C:C:C:C.CC.CC:C
ccC.cccccc.CN,0.3014409656203929,0.75,0.1667,C:C:C:C:C:C.CC:C.CN
cccccc.cc.C=O,0.3014409656203929,0.75,0.1667,C:C.C:C:C:C:C:C.C=O
c1ccccc1.cc.C=O,0.3014409656203929,0.75,0.1667,C1:C:C:C:C:C:1.C:C.C=O
ccc.cccccc.C=O,0.3014409656203929,0.75,0.1667,C:C:C.C:C:C:C:C:C.C=O
ccc.c1ccccc1.C=O,0.3014409656203929,0.75,0.1667,C1:C:C:C:C:C:1.C:C:C.C=O
ccC.c1ccccc1.CN,0.3014409656203929,0.75,0.1667,C1:C:C:C:C:C:1.CC:C.CN
ccc(C)c.CNC,0.3014409656203929,0.75,0.1667,CC(:C):C:C.CNC
cccC.CNC,0.3014409656203929,0.75,0.1667,CC:C:C.CNC
cc(C)c.CNC,0.3014409656203929,0.75,0.1667,CC(:C):C.CNC
c1ccccc1.cc,0.1829184456034336,1.0,0.3333,C1:C:C:C:C:C:1.C:C
ccc.ccc(C)c,0.1829184456034336,1.0,0.3333,C:C:C.CC(:C):C:C
ccC.cccccc,0.1829184456034336,1.0,0.3333,C:C:C:C:C:C.CC:C
ccC.c1ccccc1,0.1829184456034336,1.0,0.3333,C1:C:C:C:C:C:1.CC:C
cccccc.cc,0.1829184456034336,1.0,0.3333,C:C.C:C:C:C:C:C
cccC.cc(N)c,0.1773835700198168,0.5,0.1667,C:C(:C)N.CC:C:C
CN.cc(N)c,0.1773835700198168,0.5,0.1667,C:C(:C)N.CN
CNC.ccN,0.1773835700198168,0.5,0.1667,C:CN.CNC
CN.ccN,0.1773835700198168,0.5,0.1667,C:CN.CN
ccC.ccN,0.1773835700198168,0.5,0.1667,C:CN.CC:C
ccC.cc(N)c,0.1773835700198168,0.5,0.1667,C:C(:C)N.CC:C
C=O.cc(N)c,0.1773835700198168,0.5,0.1667,C:C(:C)N.C=O
CN.NC=O,0.1773835700198168,0.5,0.1667,CN.NC=O
CNC.cc(N)c,0.1773835700198168,0.5,0.1667,C:C(:C)N.CNC
CNC.NC=O,0.1773835700198168,0.5,0.1667,CNC.NC=O
CN.C=O,0.1773835700198168,0.5,0.1667,C=O.CN
ccc.c1ccccc1.CN,0.1773835700198168,0.5,0.1667,C1:C:C:C:C:C:1.C:C:C.CN
ccc.c1ccccc1.NC=O,0.1773835700198168,0.5,0.1667,C1:C:C:C:C:C:1.C:C:C.NC=O
cccC.ccN,0.1773835700198168,0.5,0.1667,C:CN.CC:C:C
CNC.C=O,0.1773835700198168,0.5,0.1667,C=O.CNC
C=O.ccN,0.1773835700198168,0.5,0.1667,C:CN.C=O
cccC.cccccc.CC,0.1773835700198168,0.5,0.1667,C:C:C:C:C:C.CC.CC:C:C
ccc.c1ccccc1.CC,0.1773835700198168,0.5,0.1667,C1:C:C:C:C:C:1.C:C:C.CC
ccc.cccccc.NC=O,0.1773835700198168,0.5,0.1667,C:C:C.C:C:C:C:C:C.NC=O
cccC.cccccc.CN,0.1773835700198168,0.5,0.1667,C:C:C:C:C:C.CC:C:C.CN
ccc.cccccc.CC,0.1773835700198168,0.5,0.1667,C:C:C.C:C:C:C:C:C.CC
cccC.c1ccccc1.CN,0.1773835700198168,0.5,0.1667,C1:C:C:C:C:C:1.CC:C:C.CN
cccC.c1ccccc1.CC,0.1773835700198168,0.5,0.1667,C1:C:C:C:C:C:1.CC.CC:C:C
ccc.cccccc.CN,0.1773835700198168,0.5,0.1667,C:C:C.C:C:C:C:C:C.CN
cccC.CN,0.1054711355777751,0.75,0.3333,CC:C:C.CN
cc(C)c.CN,0.1054711355777751,0.75,0.3333,CC(:C):C.CN
ccc.cccccc,0.1054711355777751,0.75,0.3333,C:C:C.C:C:C:C:C:C
cccC.cccccc,0.1054711355777751,0.75,0.3333,C:C:C:C:C:C.CC:C:C
ccc(C)c.CN,0.1054711355777751,0.75,0.3333,CC(:C):C:C.CN
ccc.c1ccccc1,0.1054711355777751,0.75,0.3333,C1:C:C:C:C:C:1.C:C:C
cccC.c1ccccc1,0.1054711355777751,0.75,0.3333,C1:C:C:C:C:C:1.CC:C:C
ccC.CN,0.1054711355777751,0.75,0.3333,CC:C.CN
