subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
ccN(C)C,0.0000,1.0000,0.0000,0.0000,0.0000,,0.0508
cccc(N)c,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0342
cc(C)cc[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0276
ccc[nH],0.0000,1.7500,0.0000,0.0000,0.0000,,0.0266
cc(NC)c,0.0000,1.0000,0.0000,0.0000,0.0000,,0.0260
cc(C=O)c,0.0000,1.2500,0.0000,0.3333,0.0000,0.0000,0.0238
ccCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0225
ccc(N)c,0.0000,0.7500,0.0000,0.6667,0.0000,0.0000,0.0176
cc(c)c,0.0000,0.2500,0.0000,2.0000,0.0000,0.0000,0.0149
cc(c)[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0148
Cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0130
cc[nH]c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0126
ccNC,0.0000,1.5000,0.0000,0.0000,0.0000,,0.0124
cC(=O)cc,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0121
cCc(c)cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0116
c[nH]ccCC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0115
cNCcc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0112
Ccccccc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0098
ccc[nH]c,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0095
cOCC,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0083
NCCNC=O,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0072
ccNCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0067
cNCCNCC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0065
ccoc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0065
Cc(c)ccc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0060
ccCcc,0.0000,0.2500,0.0000,0.0000,0.5000,0.0000,0.0054
c1ccoc1,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0047
Ccccc,0.0000,0.7500,0.0000,0.6667,1.5000,0.8905,0.0045
ccc[nH]cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0044
cccc(N)cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
cccco,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
cC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0040
cNC,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0038
ccccCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
cC(=O)Ncc,0.0000,0.2500,0.0000,0.3333,0.0000,0.0000,0.0036
NC(=O)co,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0036
cc(C=O)o,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0028
cc(C)cN,0.0000,0.2500,0.0000,0.3333,0.0000,0.0000,0.0008
