subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
CNC,0.3333333333333333,5.0,0.3372900666170139,0.0,1.0,0.0,0.053841991341991344
Ccccc,0.0,0.5,0.0,0.0,1.0,0.0,0.05266153599486933
cccC,1.5,2.75,0.9366673818775625,1.3333333333333333,0.0,0.0,0.03250761584094917
ccc,8.833333333333334,9.5,0.9990459417133883,13.0,12.5,0.9997226475394071,0.023128106461439795
ccC,3.1666666666666665,2.5,0.9899927915575186,0.6666666666666666,0.0,0.0,0.02304793971460638
cN(C)C,0.0,0.5,0.0,0.0,0.0,,0.02166506333173
c1ccccc1,0.6666666666666666,1.25,0.9321115676166747,0.6666666666666666,0.0,0.0,0.020565862708719854
ccCC,1.0,0.0,0.0,0.0,0.0,,0.02032227032227032
c[nH],0.0,0.25,0.0,0.0,0.0,,0.01996151996151996
ccc[nH],0.0,0.75,0.0,0.0,0.0,,0.019288119288119288
CCNC,2.5,1.0,0.8631205685666311,0.0,3.5,0.0,0.01893939393939394
CCC,4.0,0.0,0.0,0.0,1.5,0.0,0.017937309603976277
cccc,9.166666666666666,11.0,0.9940302114769565,16.0,8.0,0.9182958340544894,0.016195286195286193
CCO,1.1666666666666667,2.25,0.9262122127346664,0.0,2.5,0.0,0.01619368286034953
CC=O,1.1666666666666667,0.0,0.0,0.0,1.5,0.0,0.01593314093314093
ccNC=O,0.0,0.5,0.0,0.0,0.0,,0.015331890331890332
cccC=O,0.0,0.25,0.0,0.6666666666666666,0.0,0.0,0.015061327561327562
cc,1.0,1.5,0.9709505944546688,0.3333333333333333,1.5,0.6840384356390417,0.01491101491101491
CNC=O,0.0,0.25,0.0,0.0,0.0,,0.014590347923681257
Cc(c)c,0.0,0.25,0.0,0.0,0.0,,0.014430014430014428
cc(CC)c,0.3333333333333333,0.25,0.9852281360342514,0.0,0.0,,0.014309764309764309
cc(C)c,0.6666666666666666,1.25,0.9321115676166747,1.0,0.0,0.0,0.014069264069264068
CC(C)C,3.1666666666666665,0.0,0.0,0.0,0.0,,0.01400913900913901
ccOCC,0.0,0.5,0.0,0.0,0.0,,0.013989097322430656
CCN,1.0,1.5,0.9709505944546688,0.0,3.5,0.0,0.013857623857623859
ccNC,0.0,0.5,0.0,0.0,0.5,0.0,0.01370851370851371
ccCN,0.16666666666666666,0.5,0.8112781244591328,0.0,0.0,,0.013473739664215853
cccccc,2.1666666666666665,2.25,0.9997431860710851,3.0,2.5,0.9940302114769566,0.01338784672118006
cC(N)=O,0.16666666666666666,1.0,0.5916727785823274,1.0,0.0,0.0,0.013347763347763348
cc(C)c[nH],0.0,0.25,0.0,0.0,0.0,,0.01282667949334616
cc(O)c,0.3333333333333333,1.0,0.8112781244591328,1.0,0.0,0.0,0.012145262145262145
cCCN,0.0,0.5,0.0,0.0,0.0,,0.012105178771845438
cOC,0.6666666666666666,0.75,0.9975025463691153,4.666666666666667,0.0,0.0,0.011963283629950297
cNC=O,0.16666666666666666,1.0,0.5916727785823274,0.3333333333333333,0.0,0.0,0.011664261664261663
ccc(O)c,0.16666666666666666,0.75,0.6840384356390417,1.0,0.5,0.9182958340544894,0.01080246913580247
ccccC,1.5,0.75,0.9182958340544894,0.0,0.0,,0.009940676607343272
cc[nH]c,0.0,0.75,0.0,0.0,0.0,,0.009680134680134681
c[nH]ccCCN,0.0,0.25,0.0,0.0,0.0,,0.009399551066217733
c[nH]ccC,0.0,0.25,0.0,0.0,0.0,,0.009399551066217732
ccO,0.8333333333333334,1.0,0.9940302114769566,0.0,1.5,0.0,0.00913900913900914
ccccN,0.3333333333333333,0.75,0.8904916402194913,0.3333333333333333,0.0,0.0,0.008958633958633958
cCcc,0.0,0.25,0.0,0.0,0.0,,0.008944203944203945
cc(N)c,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.008703703703703705
ccoc,0.0,0.75,0.0,0.0,0.0,,0.008537758537758537
NCCN,0.8333333333333334,0.75,0.9980008838722995,0.0,0.0,,0.008417508417508417
ccCc(c)c,0.0,0.25,0.0,0.0,0.0,,0.008177008177008177
cOCC,0.5,0.5,1.0,0.0,0.5,0.0,0.007856341189674522
cNCCN,0.16666666666666666,0.0,0.0,0.0,0.0,,0.007635882635882636
CCNCCNC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.006894340227673561
NC=O,1.5,1.75,0.9957274520849256,1.0,0.0,0.0,0.0068398268398268385
cc(c)N,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.006734006734006735
CO,0.8333333333333334,0.0,0.0,0.6666666666666666,0.5,0.9852281360342514,0.006734006734006735
ccOC,0.8333333333333334,0.25,0.7793498372920852,0.6666666666666666,0.0,0.0,0.006673881673881674
CCN(C)C,0.3333333333333333,0.0,0.0,0.0,0.0,,0.006438993105659771
Cccc,0.0,0.5,0.0,0.6666666666666666,0.5,0.9852281360342514,0.006413339746673081
cccc(O)c,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.006313131313131313
CccccC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.006132756132756132
