DiSC,significance,support F_1,support F_0
ccC.cccccc.CNC,0.8999990569896765,0.7500,0.0000
ccC.c1ccccc1.CNC,0.8999990569896765,0.7500,0.0000
ccc.ccc(C)c.CNC,0.8999990569896765,0.7500,0.0000
c1ccccc1.cc.C=O,0.30144096562039296,0.7500,0.1667
cccccc.cc.C=O,0.30144096562039296,0.7500,0.1667
ccc.ccc(C)c.CN,0.30144096562039296,0.7500,0.1667
ccC.cccccc.CC,0.30144096562039296,0.7500,0.1667
ccC.cccccc.CN,0.30144096562039296,0.7500,0.1667
ccC.c1ccccc1.CN,0.30144096562039296,0.7500,0.1667
ccc.c1ccccc1.C=O,0.30144096562039296,0.7500,0.1667
ccc.cccccc.C=O,0.30144096562039296,0.7500,0.1667
ccc.c1ccccc1.CN,0.17738357001981686,0.5000,0.1667
ccc.c1ccccc1.NC=O,0.17738357001981686,0.5000,0.1667
cccC.cccccc.CC,0.17738357001981686,0.5000,0.1667
ccc.c1ccccc1.CC,0.17738357001981686,0.5000,0.1667
ccc.cccccc.NC=O,0.17738357001981686,0.5000,0.1667
cccC.cccccc.CN,0.17738357001981686,0.5000,0.1667
ccc.cccccc.CC,0.17738357001981686,0.5000,0.1667
cccC.c1ccccc1.CN,0.17738357001981686,0.5000,0.1667
cccC.c1ccccc1.CC,0.17738357001981686,0.5000,0.1667
ccc.cccccc.CN,0.17738357001981686,0.5000,0.1667
