subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
cccC=O,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0372
CC(C)C,2.1667,0.0000,0.0000,0.0000,0.0000,,0.0325
ccC=O,0.0000,0.5000,0.0000,0.3333,0.0000,0.0000,0.0285
ccoc,0.0000,1.0000,0.0000,0.0000,0.0000,,0.0283
cC=O,0.0000,1.7500,0.0000,0.0000,0.0000,,0.0278
CCCO,0.5000,0.0000,0.0000,0.0000,0.0000,,0.0239
cc(NC)c,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0224
ccc[nH],0.0000,1.0000,0.0000,0.0000,0.0000,,0.0202
ccc(c)c,0.0000,0.2500,0.0000,1.0000,0.0000,0.0000,0.0185
Cccc,0.0000,0.7500,0.0000,1.0000,1.0000,1.0000,0.0180
ccCCNC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0177
ccNCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0164
CNc(c)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0152
cCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0145
ccccc(C)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0132
c[nH]ccC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0132
ccc[nH]c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0129
cN(C)CC,0.6667,0.0000,0.0000,0.0000,0.0000,,0.0113
CCcc[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0108
ccc(c)[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0101
cccccO,0.5000,0.0000,0.0000,0.0000,0.0000,,0.0099
cccco,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0097
cco,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0094
CNCCNC,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0094
CCC,4.6667,0.0000,0.0000,0.0000,3.5000,0.0000,0.0083
cC,0.0000,0.2500,0.0000,0.6667,0.0000,0.0000,0.0081
CccO,0.5000,0.0000,0.0000,0.0000,0.0000,,0.0077
cCC(C)C,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0067
ccN(C)C,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0066
cC(=O)cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0063
CCC=O,0.5000,0.0000,0.0000,0.0000,0.0000,,0.0063
Ccccc(N)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0059
ccocC=O,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0058
cccoc,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0058
cN(C)C,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0058
cc[nH]cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0056
CO,1.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0051
ccCCC,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0046
c[nH]c,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0045
cccOC,0.0000,0.2500,0.0000,0.6667,0.0000,0.0000,0.0045
O=CO,3.5000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0043
CC(=O)O,0.5000,0.0000,0.0000,0.0000,0.0000,,0.0043
cCCN,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0038
Cc(c)cc,0.0000,0.2500,0.0000,0.3333,0.5000,0.9710,0.0038
cC(c)C,0.5000,0.0000,0.0000,0.0000,0.0000,,0.0036
O=Cco,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0036
cNC,0.0000,0.5000,0.0000,0.0000,1.0000,0.0000,0.0032
cc(c)c,0.0000,0.2500,0.0000,0.6667,0.0000,0.0000,0.0031
ccOcc,0.5000,0.0000,0.0000,0.0000,0.0000,,0.0027
c[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0027
cc[nH]c,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0025
CC(O)CN,0.1667,0.0000,0.0000,0.0000,0.5000,0.0000,0.0025
CC(C)(C)N,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0025
cccc(C)cc,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0024
ccCCC=O,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0022
Cc(c)c,0.0000,0.2500,0.0000,0.0000,0.5000,0.0000,0.0021
cCCC,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0017
