DiSC,significance,support F_1,support F_0
cCC.C=O,0.8629005211001823,0.0000,0.5000
ccCC.C=O,0.8629005211001823,0.0000,0.5000
ccC.CNC,0.30144096562039296,0.7500,0.1667
cccC.CNC,0.30144096562039296,0.7500,0.1667
ccc(C)c.CNC,0.30144096562039296,0.7500,0.1667
cc(C)c.CNC,0.30144096562039296,0.7500,0.1667
c1ccccc1.cc,0.18291844560343362,1.0000,0.3333
ccC.cccccc,0.18291844560343362,1.0000,0.3333
ccC.c1ccccc1,0.18291844560343362,1.0000,0.3333
cccccc.cc,0.18291844560343362,1.0000,0.3333
ccc.ccc(C)c,0.18291844560343362,1.0000,0.3333
CN.C=O,0.17738357001981686,0.5000,0.1667
CNC.NC=O,0.17738357001981686,0.5000,0.1667
CNC.cc(N)c,0.17738357001981686,0.5000,0.1667
CN.NC=O,0.17738357001981686,0.5000,0.1667
C=O.cc(N)c,0.17738357001981686,0.5000,0.1667
ccC.cc(N)c,0.17738357001981686,0.5000,0.1667
ccC.ccN,0.17738357001981686,0.5000,0.1667
CN.ccN,0.17738357001981686,0.5000,0.1667
CNC.ccN,0.17738357001981686,0.5000,0.1667
CN.cc(N)c,0.17738357001981686,0.5000,0.1667
cccC.cc(N)c,0.17738357001981686,0.5000,0.1667
cccC.ccN,0.17738357001981686,0.5000,0.1667
C=O.ccN,0.17738357001981686,0.5000,0.1667
CNC.C=O,0.17738357001981686,0.5000,0.1667
cccC.cccccc,0.1054711355777751,0.7500,0.3333
ccc(C)c.CN,0.1054711355777751,0.7500,0.3333
ccc.c1ccccc1,0.1054711355777751,0.7500,0.3333
cccC.c1ccccc1,0.1054711355777751,0.7500,0.3333
ccC.CN,0.1054711355777751,0.7500,0.3333
cc(C)c.CN,0.1054711355777751,0.7500,0.3333
cccC.CN,0.1054711355777751,0.7500,0.3333
ccc.cccccc,0.1054711355777751,0.7500,0.3333
