subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
Cccc,0.0000,0.7500,0.0000,0.6667,0.5000,0.9852,0.0463
ccc[nH]c,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0232
cc(C)c[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0175
cc(C=O)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0157
cccC=O,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0142
Ccc[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0140
CC(C)C,3.5000,0.0000,0.0000,0.0000,0.0000,,0.0125
cC(c)=O,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0121
cCCN,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0118
cc[nH]c,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0115
ccc[nH]cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0108
CccN,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0108
CCC,3.5000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0106
cC=O,0.0000,2.2500,0.0000,0.3333,0.0000,0.0000,0.0101
cccOC,0.0000,0.5000,0.0000,0.3333,0.0000,0.0000,0.0101
cc(N)c,0.0000,0.5000,0.0000,0.3333,0.0000,0.0000,0.0096
CC(O)CO,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0086
cc[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0083
cc(O)cC,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0081
cC(c)C,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0081
cCC,0.5000,0.0000,0.0000,0.0000,0.0000,,0.0079
ccc(c)[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0077
ccoc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0073
c[nH]c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0072
ccc[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0067
ccCN,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0066
Cc(c)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0065
ccc(c)c,0.0000,0.2500,0.0000,1.3333,0.0000,0.0000,0.0059
O=CO,3.3333,0.0000,0.0000,2.6667,0.0000,0.0000,0.0058
Ccccccc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0058
CO,0.1667,0.0000,0.0000,2.3333,1.0000,0.8813,0.0058
CNCCNC,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0057
CNC(C)(C)C,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0056
cccc(C)c,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0056
coc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0055
Ccoc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0053
NCCO,0.1667,0.0000,0.0000,0.0000,1.0000,0.0000,0.0052
cccc[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0045
ccccN,0.3333,0.0000,0.0000,0.3333,1.0000,0.8113,0.0045
cCC(C)C,0.6667,0.0000,0.0000,0.0000,0.0000,,0.0043
CCCO,0.3333,0.0000,0.0000,0.0000,0.5000,0.0000,0.0043
cN(C)C,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0042
CNCC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
CCC=O,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0038
cccoc,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0036
cNCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
CNCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
cCCN(C)C,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
cOccccc,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0036
ccco,0.0000,1.2500,0.0000,0.0000,0.0000,,0.0034
CcccO,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0028
c[nH]ccccC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0027
cccCC,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0025
C[C@@H](c)C,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0025
cOcc,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0024
CCCcc,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0024
C1CNCCN1,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0024
ccNCCNC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0024
ccc(N)cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0024
CC(O)CN,0.3333,0.0000,0.0000,0.0000,0.0000,,0.0022
co,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0012
cOCCO,0.1667,0.0000,0.0000,0.0000,0.5000,0.0000,0.0009
cOccc,0.1667,0.0000,0.0000,0.0000,0.0000,,0.0006
cco,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0003
