subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
cccC,2.1666666666666665,1.5,0.976020648236615,1.0,0.0,0.0,0.03751803751803751
cccC=O,0.0,0.75,0.0,0.0,0.0,,0.03715728715728716
ccc,7.666666666666667,12.5,0.9581586772265479,10.666666666666666,10.0,0.9992492479956566,0.03715327881994549
CC(C)C,2.1666666666666665,0.0,0.0,0.0,0.0,,0.03246753246753247
ccC=O,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.028499278499278496
ccoc,0.0,1.0,0.0,0.0,0.0,,0.028292181069958854
cC=O,0.0,1.75,0.0,0.0,0.0,,0.02781786115119448
c1ccccc1,1.5,0.5,0.8112781244591328,0.6666666666666666,0.0,0.0,0.026038159371492703
ccCC,1.1666666666666667,0.25,0.6722948170756379,0.0,0.0,,0.02565335898669232
ccccN,0.16666666666666666,1.0,0.5916727785823274,1.0,0.0,0.0,0.02507883063438619
CCCO,0.5,0.0,0.0,0.0,0.0,,0.02393979477312811
cc(NC)c,0.0,0.5,0.0,0.0,0.0,,0.022366522366522368
ccc[nH],0.0,1.0,0.0,0.0,0.0,,0.020248784137673028
CNC,0.8333333333333334,5.0,0.5916727785823274,0.0,0.5,0.0,0.018722943722943725
ccc(c)c,0.0,0.25,0.0,1.0,0.0,0.0,0.018498476831810166
Cccc,0.0,0.75,0.0,1.0,1.0,1.0,0.01803751803751804
ccCCNC,0.0,0.25,0.0,0.0,0.0,,0.017676767676767676
ccNCCN,0.0,0.25,0.0,0.0,0.0,,0.016434183100849764
cc,1.0,0.75,0.9852281360342515,1.0,1.5,0.9709505944546688,0.0154320987654321
CNc(c)c,0.0,0.25,0.0,0.0,0.0,,0.015231681898348563
cCN,0.0,0.25,0.0,0.0,0.0,,0.01446341724119502
CN(C)C,0.6666666666666666,1.75,0.8497511372532974,0.0,0.0,,0.01409431617764951
ccccc,3.1666666666666665,5.5,0.9470622432515328,6.333333333333333,5.0,0.9899927915575186,0.013807519640852976
ccccc(C)c,0.0,0.25,0.0,0.0,0.0,,0.013227513227513225
cc(OC)c,0.16666666666666666,0.5,0.8112781244591328,0.0,0.5,0.0,0.013187429854096523
c[nH]ccC,0.0,0.25,0.0,0.0,0.0,,0.013152958152958152
cccO,1.1666666666666667,1.0,0.9957274520849257,1.0,0.5,0.9182958340544894,0.013047138047138048
ccc[nH]c,0.0,0.25,0.0,0.0,0.0,,0.012906846240179572
CCN,1.0,1.5,0.9709505944546688,0.0,4.5,0.0,0.012841710758377426
CC,1.6666666666666667,1.5,0.9980008838722995,0.0,1.0,0.0,0.012357704024370692
CN,0.5,0.75,0.9709505944546688,0.0,0.5,0.0,0.011904761904761906
ccc(C)c,1.1666666666666667,0.75,0.9656361333706097,0.0,0.0,,0.011582491582491581
cN(C)CC,0.6666666666666666,0.0,0.0,0.0,0.0,,0.011303511303511303
ccccO,1.0,0.75,0.9852281360342515,0.0,0.5,0.0,0.010954785954785953
CCcc[nH],0.0,0.25,0.0,0.0,0.0,,0.010762385762385761
ccOCC,0.16666666666666666,1.25,0.5225593745369407,0.0,0.5,0.0,0.010702260702260701
cCC,0.6666666666666666,1.0,0.9709505944546685,0.0,0.0,,0.010101010101010102
ccc(c)[nH],0.0,0.25,0.0,0.0,0.0,,0.010101010101010102
cc(N)c,0.16666666666666666,0.5,0.8112781244591328,1.0,0.0,0.0,0.01002886002886003
cccccO,0.5,0.0,0.0,0.0,0.0,,0.00989057239057239
cOCC,0.5,0.75,0.9709505944546688,0.0,0.5,0.0,0.009820426487093154
cccco,0.0,0.25,0.0,0.0,0.0,,0.009668109668109668
NC=O,1.8333333333333333,2.0,0.9986359641585719,2.3333333333333335,1.0,0.8812908992306926,0.00962962962962963
cco,0.0,0.25,0.0,0.0,0.0,,0.009439634439634437
CNCCNC,0.16666666666666666,0.0,0.0,0.0,0.0,,0.00940957190957191
cNC=O,0.5,0.75,0.9709505944546688,0.3333333333333333,0.0,0.0,0.009219175885842553
cccccc,1.1666666666666667,1.5,0.9886994082884974,5.0,3.5,0.9774178175281716,0.008918550585217252
CCC,4.666666666666667,0.0,0.0,0.0,3.5,0.0,0.008333333333333333
cccc,11.333333333333334,10.5,0.9989488917243371,13.0,13.0,1.0,0.008273208273208274
cC,0.0,0.25,0.0,0.6666666666666666,0.0,0.0,0.008096841430174764
CccO,0.5,0.0,0.0,0.0,0.0,,0.007696007696007695
cCC(C)C,0.3333333333333333,0.0,0.0,0.0,0.0,,0.006734006734006735
ccN(C)C,0.0,0.25,0.0,0.0,0.0,,0.006593714927048261
cC(=O)cc,0.0,0.25,0.0,0.0,0.0,,0.006313131313131313
CCC=O,0.5,0.0,0.0,0.0,0.0,,0.006313131313131312
C=O,1.0,1.0,1.0,0.6666666666666666,1.0,0.9709505944546685,0.005892255892255892
Ccccc(N)c,0.0,0.25,0.0,0.0,0.0,,0.005892255892255892
cc(C)c,1.0,1.25,0.9910760598382222,0.6666666666666666,0.0,0.0,0.005892255892255892
ccocC=O,0.0,0.25,0.0,0.0,0.0,,0.005772005772005772
cccoc,0.0,0.5,0.0,0.0,0.0,,0.005772005772005772
cN(C)C,0.0,0.25,0.0,0.0,0.0,,0.005772005772005772
cc[nH]cc,0.0,0.25,0.0,0.0,0.0,,0.0056116722783389455
CCNC,1.3333333333333333,1.5,0.9975025463691153,0.0,2.0,0.0,0.005611672278338944
cNCC,0.16666666666666666,0.25,0.9709505944546685,0.0,0.0,,0.005387205387205388
CO,1.0,0.0,0.0,3.0,0.0,0.0,0.00505050505050505
