subgraph,Support (Train); F_0,Support (Train); F_1,Entropy (Train),Support (Valid); F_0,Support (Valid); F_1,Entropy (Valid),Importance
Cccc,0.0000,0.7500,0.0000,0.6667,0.5000,0.9852,0.0463
ccc[nH]c,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0232
cc(C)c[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0175
cc(C=O)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0157
cccC=O,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0142
Ccc[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0140
cC(c)=O,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0121
cCCN,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0118
cc[nH]c,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0115
ccc[nH]cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0108
cC=O,0.0000,2.2500,0.0000,0.3333,0.0000,0.0000,0.0101
cccOC,0.0000,0.5000,0.0000,0.3333,0.0000,0.0000,0.0101
cc(N)c,0.0000,0.5000,0.0000,0.3333,0.0000,0.0000,0.0096
cc[nH],0.0000,0.2500,0.0000,0.0000,0.0000,,0.0083
ccc(c)[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0077
ccoc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0073
c[nH]c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0072
ccc[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0067
ccCN,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0066
Cc(c)c,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0065
ccc(c)c,0.0000,0.2500,0.0000,1.3333,0.0000,0.0000,0.0059
Ccccccc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0058
coc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0055
Ccoc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0053
cccc[nH],0.0000,0.5000,0.0000,0.0000,0.0000,,0.0045
cN(C)C,0.0000,0.7500,0.0000,0.0000,0.0000,,0.0042
CNCC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0042
cccoc,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0036
cNCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
CNCCN,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
cCCN(C)C,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0036
ccco,0.0000,1.2500,0.0000,0.0000,0.0000,,0.0034
c[nH]ccccC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0027
C1CNCCN1,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0024
ccNCCNC,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0024
ccc(N)cc,0.0000,0.2500,0.0000,0.0000,0.0000,,0.0024
co,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0012
cco,0.0000,0.5000,0.0000,0.0000,0.0000,,0.0003
